pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
OPUSDT+SNXUSDT+ENSUSDT,204.24,20.25,1.843,383,97.44,15.36,1.489,378
OPUSDT+SNXUSDT+DOTUSDT,172.24,12.18,1.787,363,110.81,14.25,1.55,377
OPUSDT+SNXUSDT+AVAXUSDT,117.63,10.86,1.654,347,102.82,11.31,1.524,385
OPUSDT+SNXUSDT+ARBUSDT,172.76,13.52,1.892,353,104.06,14.6,1.525,368
OPUSDT+SNXUSDT+XRPUSDT,160.16,14.16,1.785,352,79.05,11.35,1.454,350
OPUSDT+SNXUSDT+XLMUSDT,179.38,11.12,1.834,366,90.66,13.23,1.488,390
OPUSDT+SNXUSDT+HBARUSDT,119.52,12.09,1.621,348,100.5,12.87,1.475,399
OPUSDT+SNXUSDT+ETHUSDT,179.33,11.75,1.95,342,91.63,11.84,1.514,350
OPUSDT+SNXUSDT+DOGEUSDT,162.13,14.38,1.769,361,91.48,13.09,1.491,362
OPUSDT+SNXUSDT+BTCUSDT,112.74,13.89,1.558,346,65.42,15.42,1.377,361
OPUSDT+SNXUSDT+BCHUSDT,154.42,11.43,1.87,339,113.22,12.09,1.64,368
OPUSDT+SNXUSDT+ADAUSDT,142.82,13.37,1.73,358,116.29,14.29,1.534,388
OPUSDT+SNXUSDT+1000PEPEUSDT,141.14,8.66,1.719,355,106.26,12.6,1.543,367
OPUSDT+SNXUSDT+WLDUSDT,160.65,15.16,1.807,363,79.93,12.8,1.419,370
OPUSDT+SNXUSDT+TONUSDT,178.1,11.87,1.889,356,97.64,9.99,1.518,350
OPUSDT+ENSUSDT+DOTUSDT,195.73,16.51,1.736,394,92.22,13.48,1.542,356
OPUSDT+ENSUSDT+AVAXUSDT,135.51,19.49,1.624,378,84.92,13.78,1.511,364
OPUSDT+ENSUSDT+ARBUSDT,194.25,19.41,1.824,384,85.88,13.77,1.514,347
OPUSDT+ENSUSDT+XRPUSDT,181.09,24.6,1.731,383,63.15,11.66,1.43,329
OPUSDT+ENSUSDT+XLMUSDT,203.16,18.55,1.777,397,73.86,14.54,1.466,369
OPUSDT+ENSUSDT+HBARUSDT,137.61,20.03,1.594,379,82.56,15.82,1.46,378
OPUSDT+ENSUSDT+ETHUSDT,201.73,22.68,1.871,373,74.32,12.52,1.495,329
OPUSDT+ENSUSDT+DOGEUSDT,183.39,21.75,1.721,392,73.92,13.78,1.472,341
OPUSDT+ENSUSDT+BTCUSDT,128.81,19.62,1.538,377,50.31,16.45,1.344,340
OPUSDT+ENSUSDT+BCHUSDT,174.21,21.57,1.811,370,94.08,11.22,1.63,347
OPUSDT+ENSUSDT+ADAUSDT,161.68,22.97,1.687,389,97.2,13.42,1.527,367
OPUSDT+ENSUSDT+1000PEPEUSDT,158.95,18.43,1.681,386,87.83,14.41,1.534,346
OPUSDT+ENSUSDT+WLDUSDT,180.48,22.82,1.755,394,63.24,12.49,1.394,349
OPUSDT+ENSUSDT+TONUSDT,199.3,18.78,1.823,387,79.39,10.32,1.504,329
